Model,Colour,Memory,RAM,Battery_,Rear Camera,Front Camera,AI Lens,Mobile Height,Processor_,Price
0,0,16,4,1000,0,0,0,4.57,0,9330
0,0,16,4,1000,0,0,0,4.57,0,13491
